Description,COMPANY,LOCATION,HOSTNAME,CPU TYPE,OS,VCPU,RAM,SSD DISK,HDD DISK,NETWORK TYPE,BANDWIDTH,LINK SPEED,COST/MO (USD),COST/YR (USD),COST,PERIOD,CURRENCY,Renews,Cancelled
Page 404 Special - $7/yr VPS-1,Dartnode,"USA (Los Angeles, CA)",us-ca-dn04,Intel(R) Xeon(R) Gold 6148,Debian 13,1,1GB,10GB,,IPV4 + IPV6,UNLIMITED,1G,$0.58,$7.00,7.00,1Y,USD,02/01/27,
FLASH-1,Deluxhost,NL (Amsterdam),nl-nh-dh04,Intel Xeon Platinum 8173M,Debian 13,1,1GB,10GB,,IPV4,UNLIMITED,10G,$0.00,$0.00,1.00,1Y,EUR,12/02/26,
FAT32 Day - Piko KVM IPV6 Only,HOST-C,Romania (Oradea),ro-bh-hc09,Intel(R) Xeon(R) Gold 6240,Debian 13,1,1GB,32GB,,IPV6 (NAT V4 via HC02),1TB,1G,$0.27,$3.20,3.20,1Y,USD,03/01/27,
FAT32 Day - Piko KVM IPV6 Only,HOST-C,Romania (Oradea),ro-bh-hc08,Intel(R) Xeon(R) Gold 6240,Debian 13,1,1GB,32GB,,IPV6 (NAT V4 via HC02),1TB,1G,$0.27,$3.20,3.20,1Y,USD,03/01/27,
Revuelto,HOST-C,Romania (Oradea),ro-bh-hc01,Intel(R) Xeon(R) Gold 6248,Debian 13,2,4GB,80GB,,IPV4 + IPV6,2TB,1G,$0.61,$7.37,7.37,1Y,USD,12/26/25,
LET 15th Anniversary IPV6 NVME VPS,HOST-C,Romania (Oradea),ro-bh-hc03,Intel(R) Xeon(R) Gold 6248,Debian 13,2,4GB,80GB,,IPV6 (NAT V4 via HC02),4TB,1G,$0.62,$7.38,7.38,1Y,USD,07/15/26,
LET 15th Anniversary IPV4+IPV6 NVME VPS,HOST-C,Romania (Oradea),ro-bh-hc02,Intel(R) Xeon(R) Gold 6248,Debian 13,1,2GB,40GB,,IPV4 + IPV6,2TB,1G,$0.64,$7.69,7.69,1Y,USD,07/14/26,
Sirius B - NVME VPS - IPV6 Only – G2,HOST-C,Romania (Oradea),ro-bh-hc07, Intel(R) Xeon(R) Gold 6240,Debian 13,1,4GB,40GB,,IPV6 (NAT V4 via HC02),1TB,1G,$1.00,$12.00,12.00,1Y,USD,02/28/27,
Atlas XR-500 - Storage 1 TB FAT32 Edition 2025,HOST-C,Romania (Oradea),ro-bh-hc06,Intel(R) Xeon(R) Gold 6240,Debian 13,2,4GB,,1TB,IPV4 + IPV6,3TB,1G,$1.83,$22.00,22.00,1Y,USD,05/03/26,
LET 15th Anniversary 3TB Storage VPS,HOST-C,Romania (Oradea),ro-bh-hc04,Intel(R) Xeon(R) Gold 6248,Debian 13,4,8GB,50GB,6TB,IPV4 + IPV6,18TB,1G,$2.50,$30.00,30.00,1Y,USD,07/13/26,
HOST-C Pioneer,HOST-C,Romania (Oradea),ro-bh-hc05,Intel(R) Xeon(R) Gold 6226,Debian 13,4,8GB,40GB,10TB,IPV4 + IPV6,36TB,1G,$9.17,$110.00,110.00,1Y,USD,06/30/26,
IN CloudVPS #5 (FAT32 Special),HostDZire,INDIA (Mumbai),in-mh-hz01,AMD EPYC 7K62,Debian 13,16,32GB,240GB,,IPV4,8TB,10G,$2.67,$32.09,32.09,1Y,USD,07/05/26,
V3 KVM Slim Slice 4,Servarica,CA (Montreal),ca-qc-sr01,AMD EPYC 7663,Debian 13,4,4GB,120GB,,IPV4 + IPV6,12TB,10G,$6.00,$72.00,6.00,1M,USD,04/02/26,
ON-1 Mini,Onidel,USA (New York),us-ny-od01,AMD EPYC 7713,Debian 13,1,2GB,20GB,,IPV4 + IPV6,2TB,1G,$3.20,$38.40,38.40,1Y,USD,03/01/27,
